event_index,save_index,event_name,marker_code,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,class_name,command_duration_sec,execution_success,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,1,session_start,100,,,,,,,,,0,4460,0.003160399995977059,2026-04-04T11:59:41.129
1,1,mi_run_start,130,,1,,,,,,,1,4461,0.01644520000263583,2026-04-04T11:59:41.152
2,1,trial_start,200,1,1,1,,,left_hand,,,2,4462,0.016743900006986223,2026-04-04T11:59:41.152
3,1,fixation_start,112,1,1,1,,,left_hand,,,3,4463,0.0167652999953134,2026-04-04T11:59:41.152
4,1,baseline_start,110,1,1,1,,,left_hand,,,4,4464,0.016776599994045682,2026-04-04T11:59:41.152
5,1,baseline_end,111,1,1,1,,,left_hand,,,532,4992,2.0966578999941703,2026-04-04T11:59:43.232
6,1,cue_start,120,1,1,1,,,left_hand,,,533,4993,2.0967694999999367,2026-04-04T11:59:43.232
7,1,cue_left_hand,301,1,1,1,,,left_hand,,,534,4994,2.0968080000020564,2026-04-04T11:59:43.232
8,1,imagery_start,121,1,1,1,,,left_hand,,,809,5269,3.1897706000017934,2026-04-04T11:59:44.325
9,1,imagery_left_hand,311,1,1,1,,,left_hand,,,810,5270,3.1899771000025794,2026-04-04T11:59:44.325
10,1,imagery_end,320,1,1,1,,,left_hand,,,1819,6279,7.240624300000491,2026-04-04T11:59:48.376
11,1,iti_start,330,1,1,1,,,left_hand,,,1820,6280,7.24087189999409,2026-04-04T11:59:48.376
12,1,trial_end,210,1,1,1,,,left_hand,,,2351,6811,9.329687200006447,2026-04-04T11:59:50.465
13,1,trial_start,200,2,1,2,,,right_hand,,,2352,6812,9.336099599997397,2026-04-04T11:59:50.471
14,1,fixation_start,112,2,1,2,,,right_hand,,,2353,6813,9.336122399996384,2026-04-04T11:59:50.471
15,1,baseline_start,110,2,1,2,,,right_hand,,,2354,6814,9.336132800002815,2026-04-04T11:59:50.471
16,1,baseline_end,111,2,1,2,,,right_hand,,,2860,7320,11.428674099995987,2026-04-04T11:59:52.563
17,1,cue_start,120,2,1,2,,,right_hand,,,2861,7321,11.428901199993561,2026-04-04T11:59:52.563
18,1,cue_right_hand,302,2,1,2,,,right_hand,,,2862,7322,11.428983499994501,2026-04-04T11:59:52.563
19,1,imagery_start,121,2,1,2,,,right_hand,,,3159,7619,12.524385700002313,2026-04-04T11:59:53.659
20,1,imagery_right_hand,312,2,1,2,,,right_hand,,,3160,7620,12.524631099993712,2026-04-04T11:59:53.659
21,1,imagery_end,320,2,1,2,,,right_hand,,,4163,8623,16.581472599995323,2026-04-04T11:59:57.716
22,1,iti_start,330,2,1,2,,,right_hand,,,4164,8624,16.581785699992906,2026-04-04T11:59:57.716
23,1,trial_end,210,2,1,2,,,right_hand,,,4688,9148,18.671518899995135,2026-04-04T11:59:59.806
24,1,trial_start,200,3,1,3,,,feet,,,4689,9149,18.677975800004788,2026-04-04T11:59:59.813
25,1,fixation_start,112,3,1,3,,,feet,,,4690,9150,18.677994300000137,2026-04-04T11:59:59.813
26,1,baseline_start,110,3,1,3,,,feet,,,4691,9151,18.678004600005806,2026-04-04T11:59:59.813
27,1,baseline_end,111,3,1,3,,,feet,,,5210,9670,20.758378600003198,2026-04-04T12:00:01.893
28,1,cue_start,120,3,1,3,,,feet,,,5211,9671,20.758578499997384,2026-04-04T12:00:01.893
29,1,cue_feet,303,3,1,3,,,feet,,,5212,9672,20.758652100004838,2026-04-04T12:00:01.893
30,1,imagery_start,121,3,1,3,,,feet,,,5434,9894,21.85190280000097,2026-04-04T12:00:02.987
31,1,imagery_feet,313,3,1,3,,,feet,,,5435,9895,21.85198720000335,2026-04-04T12:00:02.987
32,1,imagery_end,320,3,1,3,,,feet,,,6468,10928,25.905064299993683,2026-04-04T12:00:07.040
33,1,iti_start,330,3,1,3,,,feet,,,6469,10929,25.90527839999413,2026-04-04T12:00:07.040
34,1,trial_end,210,3,1,3,,,feet,,,7021,11481,27.98376780000399,2026-04-04T12:00:09.118
35,1,trial_start,200,4,1,4,,,tongue,,,7022,11482,27.989222799995332,2026-04-04T12:00:09.124
36,1,fixation_start,112,4,1,4,,,tongue,,,7023,11483,27.98924409999745,2026-04-04T12:00:09.124
37,1,baseline_start,110,4,1,4,,,tongue,,,7024,11484,27.989254600004642,2026-04-04T12:00:09.124
38,1,baseline_end,111,4,1,4,,,tongue,,,7530,11990,30.076411699992605,2026-04-04T12:00:11.212
39,1,cue_start,120,4,1,4,,,tongue,,,7531,11991,30.07661580000422,2026-04-04T12:00:11.212
40,1,cue_tongue,304,4,1,4,,,tongue,,,7532,11992,30.07668250000279,2026-04-04T12:00:11.212
41,1,imagery_start,121,4,1,4,,,tongue,,,7815,12275,31.173625600000378,2026-04-04T12:00:12.309
42,1,imagery_tongue,314,4,1,4,,,tongue,,,7816,12276,31.17384730000049,2026-04-04T12:00:12.309
43,1,imagery_end,320,4,1,4,,,tongue,,,8758,13218,35.224803200006136,2026-04-04T12:00:16.359
44,1,iti_start,330,4,1,4,,,tongue,,,8759,13219,35.22501619999821,2026-04-04T12:00:16.360
45,1,trial_end,210,4,1,4,,,tongue,,,9342,13802,37.30382990000362,2026-04-04T12:00:18.439
46,1,trial_start,200,5,1,5,,,feet,,,9343,13803,37.30548949999502,2026-04-04T12:00:18.440
47,1,fixation_start,112,5,1,5,,,feet,,,9344,13804,37.30551710000145,2026-04-04T12:00:18.440
48,1,baseline_start,110,5,1,5,,,feet,,,9345,13805,37.305529200006276,2026-04-04T12:00:18.440
49,1,baseline_end,111,5,1,5,,,feet,,,9866,14326,39.391938800006756,2026-04-04T12:00:20.527
50,1,cue_start,120,5,1,5,,,feet,,,9867,14327,39.392127700004494,2026-04-04T12:00:20.527
51,1,cue_feet,303,5,1,5,,,feet,,,9868,14328,39.392199800000526,2026-04-04T12:00:20.527
52,1,imagery_start,121,5,1,5,,,feet,,,10150,14610,40.489507699996466,2026-04-04T12:00:21.625
53,1,imagery_feet,313,5,1,5,,,feet,,,10151,14611,40.489735900002415,2026-04-04T12:00:21.625
54,1,imagery_end,320,5,1,5,,,feet,,,10240,14700,40.833448799996404,2026-04-04T12:00:21.968
55,1,trial_end,210,5,1,5,,,feet,,,10241,14701,40.833508199997596,2026-04-04T12:00:21.968
56,1,mi_run_end,131,,1,,,,,,,10242,14702,40.83354399999371,2026-04-04T12:00:21.968
57,1,session_end,101,,,,,,,,,10243,14703,40.83356610000192,2026-04-04T12:00:21.968
